LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
22/3014/FUL,London Borough of Barnet,10/06/2022,Allowed,All Other,"Demolition of existing building and construction of part three/part four storey mixed use building comprising 8 residential units and office floorspace at ground floor level. Associated amenity space, refuse storage, cycle parking and off-street parking",,1,Parson Street,Hendon,NW4 1QD,,,,,8,1,7,,,Approved,10/10/2023,,,
2187/22,Redbridge,30/06/2022,Approved,All Other,"Remove single storey rear lean to and glass balustrade. Change of use from a vacant College into Student Accommodation (35no. units) with associated cycle storage, waste / refuse storage and landscaping. Installation of metal privacy screening to ground floor front / rear terraces. Alterations to fenestrations. Two side roof lights. Retrospective construction of dormer windows in the front, rear and side mansard roof slopes. (Summary). Additional Information",Development At 287 To 289,,Cranbrook Road,,,,,,,35,0,35,,,Approved,05/10/2023,,,
233825FUL,Ealing,06/09/2023,Approved,All Other,Conversion of a property into three self-contained residential units; single storey side and rear wrap around extension; rear roof extension to main roofslope; roof extension to rear outrigger; installation of three rooflights to front roofslope; associated internal and external alterations; and provision of cycle parking and refuse storage,416 Greenford Road,,Greenford Road,Greenford,UB6 9AH,,,,,3,0,3,,,Approved,24/01/2024,,,https://pam.ealing.gov.uk/online-applications/PLAN/233825FUL;
23/00778/FULL,Westminster,07/02/2023,Approved,All Other,Dual/alternative use of the first floor for either continued residential (Class C3) or office (Class E(c)(g)) use.,First Floor,24,Rupert Street,,W1D 6DQ,,,,,1,1,0,,,Approved,14/04/2023,,,
23/AP/0983,London Borough of Southwark,17/04/2023,Approved,All Other,"Listed Building Consent: Change of use of the ground to fifth floors to offices (Class E) with associated internal alterations to all levels, and external alterations at roof level to create two recessed plant areas.",2 Battle Bridge LaneLondonSouthwarkSE1,,,,,,,,,0,30,-30,,,Approved,08/06/2023,,,
233780FUL,Ealing,18/09/2023,Approved,All Other,"Conversion of detached two-storey dwellinghouse into two (2) self-contained residential flats; first floor rear/side extension; loft floor rear roof terrace; associated external and internal works including new ground floor side door entrance, ground floor side window and parapet wall; front boundary wall infill; provision of cycle store and refuse area",31 Creffield Road,,Creffield Road,London,W5 3RR,,,,,2,1,1,,,Approved,31/10/2023,,,https://pam.ealing.gov.uk/online-applications/PLAN/233780FUL;
233982FUL,Ealing,12/10/2023,Approved,All Other,"Conversion of single dwelling into 2 self contained flats, provision of car and cycle parking, bin storage, subdivision of amenity space (following demolition of existing rear garage).",71 George V Way,,George V Way,Greenford,UB6 7JA,,,,,2,0,2,,,Approved,21/12/2023,,,https://pam.ealing.gov.uk/online-applications/PLAN/233982FUL;
2023/4669,Wandsworth,03/01/2024,Approved,Prior Approval,Determination as to whether prior notification is required for change of use from retail (Class E) to 1 x 1-bedroom and 1 x studio flats (Class C3).,,96,Mitcham Lane,London,SW16 6NR,,,,,2,0,2,,,Approved,07/02/2024,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2023/4669
HGY/2021/3021,Haringey,25/10/2021,Approved,All Other,Conversion into 5 self-contained flats. (Renewal of previous consent HGY/2014/1741),"Tottenham Enterprise Centre, 664-666, High Road, London, N17 0AB",,High Road,,N17 0AB,,,,,5,0,5,,,Approved,31/10/2023,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GDo5AAG
P2023/1888/PRA,Islington,29/06/2023,Approved,All Other,Notification of Prior Approval for change of use from use Class E (Office) to Use Class C3 (residential flat) under Class MA of the GDPO.,Pt Third Floor,,Aylesbury Street,London,EC1R 0DB,,,,,1,0,1,,,Approved,23/08/2023,,,
23/02202/FUL,London Borough of Bexley,06/09/2023,Approved,All Other,Conversion of the existing bungalow to provide 2 x two-storey semi-detached dwellings and creation of parking to front.,,34,Rutland Avenue,,DA15 9DZ,,,,,2,1,1,,,Approved,31/10/2023,,,
23/01703/FUL,London Borough of Newham,01/08/2023,Approved,All Other,"Redevelopment of the existing site with alterations and extensions to the existing building to retain the ground floor Use Class E retail units and provide five residential units on the upper floors with associated refuse, bicycle storage, communal and private amenity and upgrade of right of way.",,"330, 332",Green Street,Upton Park,E13 9AP,,,,,4,0,4,,,Approved,26/09/2023,,,
2022/1091,Wandsworth,06/04/2022,Allowed,All Other,Alterations including addition of front windows and screening to roof and change of use of part 3rd and part 4th storey of building from equipment rooms to 1-bedroom flat with roof terrace.,,10,Balham Hill,London,SW12 9EA,,,,,1,0,1,,,Refused,01/06/2022,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/1091
233451FUL,Ealing,14/08/2023,Approved,All Other,"Conversion of the existing upper floor residential dwelling into 2 self-contained residential units, incorporating a rear roof extension; creation of a balcony at the second floor rear elevation; and provision of associated cycle storage and refuse storage",95A The Broadway,,The Broadway,Southall,UB1 1LN,,,,,3,1,2,,,Approved,25/01/2024,,,https://pam.ealing.gov.uk/online-applications/PLAN/233451FUL;
