LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
2021/2851,Hackney,11/03/2022,Approved,All Other,Replacement of windows to front and rear elevations.,"38 Albion Drive, Hackney, London, E8 4LX",38,ALBION DRIVE,HACKNEY,E8 4LX,,,,,10,10,0,,,Approved,06/05/2022,,,/planning/index.html?fa=getApplication&id=72879
1983/APP/2022/1008,Hillingdon,24/03/2022,Approved,All Other,Extension at the front of the property above the shopfront to provide 1 x self-contained flat (Use Class C3) at second floor level and erection of a new two storey building at the rear of the property to provide 1 x self-contained flat (Use Class C3) above an open loading bay with associated bin and cycle store.,69 HIGH STREET,,RUISLIP,,HA4 8JB,,,,,2,0,2,,,Approved,29/07/2022,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=1983/APP/2022/1008
2517/22,Redbridge,18/10/2022,Approved,All Other,"Erection of a single dwelling house (one x 2-bedroom) with associated car parking, cycle store, waste/refuse storage, amenity space, fencing and works to trees. (Summary).",Development Rear Of 8 Latchett Road In,,Diana Close,South Woodford,,,,,,1,0,1,,,Approved,21/12/2022,,,
HGY/2022/2130,Haringey,18/08/2022,Approved,All Other,Conversion of first floor from use class E (currently vacant) to two self contained flats use class C3.,"67, Grand Parade, London, N4 1EB",67,Grand Parade,,N4 1EB,,,,,2,0,2,,,Approved,12/10/2022,,,https://londonboroughofharingey.force.com/pr/s/planning-application/a0i8d000002GIdPAAW
2022/4571,Wandsworth,08/11/2022,Approved,All Other,Alterations including erection of single storey extension and mansard roof extension above existing two storey building in connection with creation 7 self-contained flats all with private balconies/terraces at each level and associated cycle and refuse storage.,,158,Balham High Road,London,SW12 9BN,,,,,7,0,7,,,Approved,03/03/2023,,,http://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/4571
22/01981/FULL,London Borough of Barking and Dagenham,21/11/2022,Approved,All Other,Demolition of existing burnt structure and construction of a new two storey 3x bedroom dwelling,,10,STRATFORD CLOSE,,,,,,,1,1,0,,,Approved,16/12/2022,,,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=31295
21/04016/FUL,Enfield Council,30/11/2021,Approved,All Other,"Sub-division of site and the erection of 1 x single family dwellinghouse with vehicle parking, and storage for refuse and recycling with private amenity space.",,55,Aldridge Avenue,,EN3 6HX,,,,,1,0,1,,,Approved,11/06/2022,,,
2022/1424/P,Camden,09/05/2022,Approved,All Other,Certificate of lawfulness (proposed) for amalgamation of garden level flat and 1st - 3rd floors flat into one single dwellinghouse.,Flat A,,15 Lady Margaret Road,London,NW5 2NG,,,,,1,2,-1,,,Approved,20/07/2022,,,
22/3710/FUL,London Borough of Barnet,19/07/2022,Approved,All Other,"Construction of a two storey dwelling following demolition of the existing garage. Associated cycle/refuse and recycling storage, off-street parking. Alterations to existing fenestration including the bricking up of the ground and first floor side windows of No.44/46 Coppetts Road. Alterations to front and rear facade of the existing flats, and alterations to the forecourt including new vehicular access, hardstanding, new fencing and soft landscaping. Sub-division of the rear amenity space. [Amended Description/Plans]",Land Adjacent To 44 And 46 Coppetts RoadLondonN10 1JX,,,,,,,,,1,0,1,,,Approved,07/12/2022,,,
2021/5761/P,Camden,24/11/2021,Approved,All Other,"Demolition of existing 4th floor extension and erection of new 2 storey extension to create 2 additional residential units (Class C3), with a roof terrace",,18,Stukeley Street,London,WC2B 5LR,,,,,2,0,2,,,Approved,18/01/2023,,,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2021/5761/P
14578/APP/2022/1838,Hillingdon,08/06/2022,Approved,All Other,New build replacement dwelling house.,17 BROADWOOD AVENUE,,RUISLIP,,HA4 7XS,,,,,1,1,0,,,Approved,16/09/2022,,,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=14578/APP/2022/1838
22/3321/FUL,London Borough of Barnet,27/06/2022,Approved,All Other,"Single storey rear extension and conversion of the property into 2no. self-contained units. Associated car parking, cycle storage and refuse and recycling facilities",,18,Sydney Grove,Hendon,NW4 2EH,,,,,2,1,1,,,Approved,31/08/2022,,,
P0599.22,Havering,12/04/2022,Approved,All Other,Demolition of existing Bungalow and erection of 2 x 4 bedroom dwellings with habitable roof spaces and rear dormers together with the creation of a new crossover.,Wayside,,Fullers Lane,,RM5 3JT,,,,,4,2,2,,,Approved,07/06/2022,,,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=P0599.22
P/4015/22,Harrow,30/11/2022,Approved,All Other,Conversion of first and second floor flat into two flats (1 X studio and 1 X 2 bed); rear dormer; installation of two rooflights in front roofslope; external aterations,,891,Honeypot Lane,Stanmore,HA7 1AR,,,,,4,1,3,,,Approved,07/02/2023,,,http://site.com?appref=P/4015/22-or-1230183
